idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,BIO_2,offset1,pro1,offset2,pro2,offset3,pro3,mask,bi_labels,labels
25,Resource consumption comparisons are made for sentences of varying lengths .,Introduction,Introduction,text-classification,6,,,,12,0.8,24,0.16216216216216217,12,0.8,1,0,
26,"import tensorflow_hub as hub embed = hub.Module ( "" https://tfhub.dev/google/ "" "" universal- sentence - encoder / 1 "" ) embedding = embed ( [",Introduction,Introduction,text-classification,6,,,,13,0.8666666666666667,25,0.16891891891891891,13,0.8666666666666667,1,0,
27,""" The quick brown fox jumps over the lazy dog . "" ] )",Introduction,Introduction,text-classification,6,,,,14,0.9333333333333333,26,0.17567567567567569,14,0.9333333333333333,1,0,
28,Listing 1 : Python example code for using the universal sentence encoder .,Introduction,Introduction,text-classification,6,,,,15,1.0,27,0.18243243243243243,15,1.0,1,0,
29,Model Toolkit,,,text-classification,6,,,,0,0.0,28,0.1891891891891892,0,0.0,1,0,
30,We make available two new models for encoding sentences into embedding vectors .,Model Toolkit,Model Toolkit,text-classification,6,,,,1,0.03225806451612903,29,0.19594594594594594,1,0.125,1,0,
31,"One makes use of the transformer architecture , while the other is formulated as a deep averaging network ( DAN ) .",Model Toolkit,Model Toolkit,text-classification,6,,,,2,0.06451612903225806,30,0.20270270270270271,2,0.25,1,0,
32,Both models are implemented in TensorFlow and are available to download from TF Hub : 1 https://tfhub.dev/google/universal-sentence-encoder/1,Model Toolkit,Model Toolkit,text-classification,6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ob']",3,0.0967741935483871,31,0.20945945945945946,3,0.375,1,1,code
33,The models take as input English strings and produce as output a fixed dimensional embedding representation of the string .,Model Toolkit,Model Toolkit,text-classification,6,,,,4,0.12903225806451613,32,0.21621621621621623,4,0.5,1,0,
34,Listing 1 provides a minimal code snippet to convert a sentence into a tensor containing its sentence embedding .,Model Toolkit,Model Toolkit,text-classification,6,,,,5,0.16129032258064516,33,0.22297297297297297,5,0.625,1,0,
35,The embedding tensor can be used directly or incorporated into larger model graphs for specific tasks .,Model Toolkit,Model Toolkit,text-classification,6,,,,6,0.1935483870967742,34,0.22972972972972974,6,0.75,1,0,
36,"As illustrated in , the sentence embeddings can be trivially used to compute sentence level semantic similarity scores that achieve excellent performance on the semantic textual similarity ( STS ) Benchmark .",Model Toolkit,Model Toolkit,text-classification,6,,,,7,0.22580645161290322,35,0.23648648648648649,7,0.875,1,0,
37,"When included within larger models , the sentence encoding models can be fine tuned for specific tasks using gradient based updates .",Model Toolkit,Model Toolkit,text-classification,6,,,,8,0.25806451612903225,36,0.24324324324324326,8,1.0,1,0,
38,Encoders,Model Toolkit,,text-classification,6,,,,9,0.2903225806451613,37,0.25,0,0.0,1,0,
39,We introduce the model architecture for our two encoding models in this section .,Model Toolkit,Encoders,text-classification,6,,,,10,0.3225806451612903,38,0.25675675675675674,1,0.25,1,0,
40,Our two encoders have different design goals .,Model Toolkit,Encoders,text-classification,6,,,,11,0.3548387096774194,39,0.2635135135135135,2,0.5,1,0,
41,One based on the transformer architecture targets high accuracy at the cost of greater model complexity and resource consumption .,Model Toolkit,Encoders,text-classification,6,,,,12,0.3870967741935484,40,0.2702702702702703,3,0.75,1,0,
42,The other targets efficient inference with slightly reduced accuracy .,Model Toolkit,Encoders,text-classification,6,,,,13,0.41935483870967744,41,0.27702702702702703,4,1.0,1,0,
43,Transformer,Model Toolkit,,text-classification,6,,,,14,0.45161290322580644,42,0.28378378378378377,0,0.0,1,0,
44,The transformer based sentence encoding model constructs sentence embeddings using the encoding sub - graph of the transformer architecture .,Model Toolkit,Transformer,text-classification,6,"['O', 'O', 'B', 'B', 'I', 'I', 'B', 'B', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'B-p', 'B-b', 'I-b', 'I-b', 'B-p', 'B-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",15,0.4838709677419355,43,0.2905405405405405,1,0.058823529411764705,1,1,model
45,This sub - graph uses attention to compute context aware representations of words in a sentence that take into account both the ordering and identity of all the other words .,Model Toolkit,Transformer,text-classification,6,"['O', 'O', 'O', 'O', 'B', 'B', 'B', 'I', 'B', 'I', 'I', 'B', 'B', 'I', 'I', 'I', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'O', 'O', 'B-p', 'B-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'O', 'O', 'B-p', 'B-b', 'B-p', 'I-p', 'B-b', 'I-b', 'I-b', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'I-p', 'I-p', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",16,0.5161290322580645,44,0.2972972972972973,2,0.11764705882352941,1,1,model
46,The context aware word representations are converted to a fixed length sentence encoding vector by computing the element - wise sum of the representations at each word position .,Model Toolkit,Transformer,text-classification,6,"['O', 'B', 'I', 'I', 'I', 'O', 'B', 'B', 'I', 'B', 'I', 'I', 'I', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'O']","['O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'B-b', 'I-b', 'I-b', 'I-b', 'O', 'B-p', 'B-p', 'I-p', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",17,0.5483870967741935,45,0.30405405405405406,3,0.17647058823529413,1,1,model
47,The encoder takes as input a lowercased PTB tokenized string and outputs a 512 dimensional vector as the sentence embedding .,Model Toolkit,Transformer,text-classification,6,,,,18,0.5806451612903226,46,0.3108108108108108,4,0.23529411764705882,1,0,
48,The encoding model is designed to be as general purpose as possible .,Model Toolkit,Transformer,text-classification,6,"['O', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'O', 'O']","['O', 'B-n', 'I-n', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'O', 'O', 'O']","['O', 'B-b', 'I-b', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-b', 'I-b', 'O', 'O', 'O']",19,0.6129032258064516,47,0.31756756756756754,5,0.29411764705882354,1,1,model
49,This is accomplished by using multi-task learning whereby a single encoding model is used to feed multiple downstream tasks .,Model Toolkit,Transformer,text-classification,6,"['O', 'O', 'B', 'I', 'B', 'I', 'I', 'B', 'B', 'I', 'I', 'I', 'B', 'I', 'I', 'I', 'B', 'I', 'I', 'O']","['O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['O', 'O', 'B-p', 'I-p', 'B-b', 'I-b', 'I-b', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'I-p', 'I-p', 'B-ob', 'I-ob', 'I-ob', 'O']",20,0.6451612903225806,48,0.32432432432432434,6,0.35294117647058826,1,1,model
50,The supported tasks include : a Skip - Thought like task for the unsupervised learning from arbitrary running text ; a conversational input - response task for the inclusion of parsed conversational data ; and classification tasks for training on supervised data .,Model Toolkit,Transformer,text-classification,6,,,,21,0.6774193548387096,49,0.3310810810810811,7,0.4117647058823529,1,0,
51,The Skip - Thought task replaces the LSTM used in the original formulation with a model based on the Transformer architecture .,Model Toolkit,Transformer,text-classification,6,,,,22,0.7096774193548387,50,0.33783783783783783,8,0.47058823529411764,1,0,
52,"As will be shown in the experimental results below , the transformer based encoder achieves the best over all transfer task performance .",Model Toolkit,Transformer,text-classification,6,,,,23,0.7419354838709677,51,0.34459459459459457,9,0.5294117647058824,1,0,
53,"However , this comes at the cost of compute time and memory usage scaling dramatically with sentence length .",Model Toolkit,Transformer,text-classification,6,,,,24,0.7741935483870968,52,0.35135135135135137,10,0.5882352941176471,1,0,
54,Deep Averaging Network ( DAN ),Model Toolkit,Transformer,text-classification,6,"['B', 'I', 'I', 'I', 'I', 'I']","['B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n']","['B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b']",25,0.8064516129032258,53,0.3581081081081081,11,0.6470588235294118,1,1,model
55,The second encoding model makes use of a deep averaging network ( DAN ) whereby input embeddings for words and bi-grams are first averaged together and then passed through a feedforward deep neural network ( DNN ) to produce sentence embeddings .,Model Toolkit,Transformer,text-classification,6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'I', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'B-ob', 'I-ob', 'O', 'B-p', 'I-p', 'I-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'B-ob', 'I-ob', 'O']",26,0.8387096774193549,54,0.36486486486486486,12,0.7058823529411765,1,1,model
56,"Similar to the Transformer encoder , the DAN encoder takes as input a lowercased PTB tokenized string and outputs a 512 dimensional sentence embedding .",Model Toolkit,Transformer,text-classification,6,"['O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O']",,,27,0.8709677419354839,55,0.3716216216216216,13,0.7647058823529411,1,1,model
57,The DAN encoder is trained similarly to the Transformer based encoder .,Model Toolkit,Transformer,text-classification,6,,,,28,0.9032258064516129,56,0.3783783783783784,14,0.8235294117647058,1,0,
58,We make use of mul-titask learning whereby a single DAN encoder is used to supply sentence embeddings for multiple downstream tasks .,Model Toolkit,Transformer,text-classification,6,"['O', 'O', 'B', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'I', 'B', 'I', 'B', 'B', 'I', 'I', 'O']","['O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'I-p', 'I-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'O']","['O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'O', 'B-p', 'I-p', 'I-p', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'O']",29,0.9354838709677419,57,0.38513513513513514,15,0.8823529411764706,1,1,model
59,The primary advantage of the DAN encoder is that compute time is linear in the length of the input sequence .,Model Toolkit,Transformer,text-classification,6,"['O', 'B', 'I', 'B', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O']","['O', 'B-p', 'I-p', 'B-p', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'B-n', 'I-n', 'O']","['O', 'B-p', 'I-p', 'B-p', 'O', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'O', 'O', 'B-ob', 'I-ob', 'O']",30,0.967741935483871,58,0.3918918918918919,16,0.9411764705882353,1,1,model
60,"Similar to , our results demonstrate that DANs achieve strong baseline performance on text classification tasks .",Model Toolkit,Transformer,text-classification,6,,,,31,1.0,59,0.39864864864864863,17,1.0,1,0,
61,Encoder Training Data,,,text-classification,6,,,,0,0.0,60,0.40540540540540543,0,0.0,1,0,
62,Unsupervised training data for the sentence encoding models are drawn from a variety of web sources .,Encoder Training Data,Encoder Training Data,text-classification,6,,,,1,0.05,61,0.41216216216216217,1,0.25,1,0,
63,"The sources are Wikipedia , web news , web question - answer pages and discussion forums .",Encoder Training Data,Encoder Training Data,text-classification,6,,,,2,0.1,62,0.4189189189189189,2,0.5,1,0,
64,We augment unsupervised learning with training on supervised data from the Stanford Natural Language Inference ( SNLI ) corpus .,Encoder Training Data,Encoder Training Data,text-classification,6,,,,3,0.15,63,0.42567567567567566,3,0.75,1,0,
65,"Similar to the findings of , we observe that training to SNLI improves transfer performance .",Encoder Training Data,Encoder Training Data,text-classification,6,,,,4,0.2,64,0.43243243243243246,4,1.0,1,0,
66,Transfer Tasks,Encoder Training Data,,text-classification,6,,,,5,0.25,65,0.4391891891891892,0,0.0,1,0,
67,This section presents an overview of the data used for the transfer learning experiments and the Word Embedding Association Test ( WEAT ) data used to characterize model bias .,Encoder Training Data,Transfer Tasks,text-classification,6,,,,6,0.3,66,0.44594594594594594,1,0.06666666666666667,1,0,
68,"summarizes the number of samples provided by the test portion of each evaluation set and , when available , the size of the dev and training data .",Encoder Training Data,Transfer Tasks,text-classification,6,,,,7,0.35,67,0.4527027027027027,2,0.13333333333333333,1,0,
69,MR : Movie review snippet sentiment on a five star scale .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'I', 'O']","['B-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['B-b', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'O']",8,0.4,68,0.4594594594594595,3,0.2,1,1,tasks
70,CR : Sentiment of sentences mined from customer reviews .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'I', 'B', 'I', 'B', 'I', 'O']","['B-n', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'O']","['B-b', 'O', 'B-b', 'I-b', 'I-b', 'B-p', 'I-p', 'B-ob', 'I-ob', 'O']",9,0.45,69,0.46621621621621623,4,0.26666666666666666,1,1,tasks
71,SUBJ : Subjectivity of sentences from movie reviews and plot summaries .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'O']","['B-n', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['B-b', 'O', 'B-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",10,0.5,70,0.47297297297297297,5,0.3333333333333333,1,1,tasks
72,MPQA : Phrase level opinion polarity from news data .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'I', 'I', 'B', 'B', 'I', 'O']","['B-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'O']","['B-b', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'O']",11,0.55,71,0.4797297297297297,6,0.4,1,1,tasks
73,TREC : Fine grained question classification sourced from TREC .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'I', 'I', 'B', 'I', 'B', 'O']",,,12,0.6,72,0.4864864864864865,7,0.4666666666666667,1,1,tasks
74,SST : Binary phrase level sentiment classification .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'I', 'I', 'I', 'O']","['B-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['B-b', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",13,0.65,73,0.49324324324324326,8,0.5333333333333333,1,1,tasks
75,STS Benchmark : Semantic textual similarity ( STS ) between sentence pairs scored by Pearson correlation with human judgments .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'B', 'B', 'I', 'B', 'I', 'B', 'I', 'I', 'I', 'I', 'O']","['B-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['B-b', 'I-b', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'B-b', 'I-b', 'B-p', 'I-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",14,0.7,74,0.5,9,0.6,1,1,tasks
76,WEAT : Word pairs from the psychology literature on implicit association tests ( IAT ) that are used to characterize model bias .,Encoder Training Data,Transfer Tasks,text-classification,6,"['B', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-n', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-b', 'O', 'B-b', 'I-b', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",15,0.75,75,0.5067567567567568,10,0.6666666666666666,1,1,tasks
77,"For sentence classification transfer tasks , the output of the transformer and DAN sentence encoders are provided to a task specific DNN .",Encoder Training Data,Transfer Tasks,text-classification,6,,,,16,0.8,76,0.5135135135135135,11,0.7333333333333333,1,0,
78,"For the pairwise semantic similarity task , we directly assess the similarity of the sentence embeddings produced by our two encoders .",Encoder Training Data,Transfer Tasks,text-classification,6,,,,17,0.85,77,0.5202702702702703,12,0.8,1,0,
79,"As shown Eq. 1 , we first compute the cosine similarity of the two sentence embeddings and then use arccos to convert the cosine similarity into an angular distance .",Encoder Training Data,Transfer Tasks,text-classification,6,,,,18,0.9,78,0.527027027027027,13,0.8666666666666667,1,0,
80,"5 sim ( u , v ) = 1 ? arccos u v | | u || | | v|| /?",Encoder Training Data,Transfer Tasks,text-classification,6,,,,19,0.95,79,0.5337837837837838,14,0.9333333333333333,1,0,
81,( 1 ),Encoder Training Data,Transfer Tasks,text-classification,6,,,,20,1.0,80,0.5405405405405406,15,1.0,1,0,
82,Baselines,,,text-classification,6,,,,0,0.0,81,0.5472972972972973,0,0.0,1,0,
83,"For each transfer task , we include baselines that only make use of word level transfer and baselines that make use of no transfer learning at all .",Baselines,Baselines,text-classification,6,,,,1,0.2,82,0.5540540540540541,1,0.2,1,0,
84,"For word level transfer , we use word embeddings from a word2 vec skip - gram model trained on a corpus of news data .",Baselines,Baselines,text-classification,6,"['B', 'B', 'I', 'I', 'O', 'O', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'I', 'O', 'B', 'B', 'B', 'I', 'O']","['B-p', 'B-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'O']","['B-p', 'B-b', 'I-b', 'I-b', 'O', 'O', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'O', 'B-b', 'B-p', 'B-ob', 'I-ob', 'O']",2,0.4,83,0.5608108108108109,2,0.4,1,1,baselines
